refactoringType,name,description,diffUrl
"Extract & Move Operation",voldemort,"Extract & Move Operation	protected progressInfoMessage(tag String) : void extracted from public handleRequest(inputStream DataInputStream, outputStream DataOutputStream) : StreamRequestHandlerState in class voldemort.server.protocol.admin.FetchEntriesStreamRequestHandler & moved to class voldemort.server.protocol.admin.FetchStreamRequestHandler",https://github.com/voldemort/voldemort/commit/96d1513dcf9c82e5278ad5ed7b36844f229739fa?diff=split
"Extract & Move Operation",k-9,"Extract & Move Operation	public disableDeleteAction() : void extracted from private delete() : void in class com.fsck.k9.fragment.MessageViewFragment & moved to class com.fsck.k9.activity.MessageList",https://github.com/k9mail/k-9/commit/ad2a6d7a9bf5f7a2c5dd1effa51ecc93b34e7766?diff=split
"Extract & Move Operation",RxJava,"Extract & Move Operation	public unsubscribe() : void extracted from public unsubscribe() : void in class rx.schedulers.ExecutorScheduler.InnerExecutorScheduler & moved to class rx.schedulers.NewThreadScheduler.EventLoopScheduler",https://github.com/ReactiveX/RxJava/commit/d91794b7123f58d5dfc85fa7edfd8c33ffd9655d?diff=split
"Extract & Move Operation",netty,"Extract & Move Operation	package updateWindowIfAppropriate(ctx ChannelHandlerContext) : boolean extracted from private applyStreamFlowControl(ctx ChannelHandlerContext, streamId int, dataLength int, endOfStream boolean) : boolean in class io.netty.handler.codec.http2.DefaultHttp2InboundFlowController & moved to class io.netty.handler.codec.http2.DefaultHttp2InboundFlowController.InboundFlowState",https://github.com/netty/netty/commit/6409a5a1d55b1922b9d40ac8ed6c05a6e2261f47?diff=split
"Extract & Move Operation",netty,"Extract & Move Operation	protected cleanupAndTerminate(success boolean) : void extracted from protected run() : void in class io.netty.channel.DefaultEventLoop & moved to class io.netty.util.concurrent.SingleThreadEventExecutor",https://github.com/netty/netty/commit/f8bee2e94c33f167bcdefe3e8bbf95e99765032e?diff=split
"Extract & Move Operation",voldemort,"Extract & Move Operation	public abort() : void extracted from protected handleResponseError(e Exception, node Node, requestTime long, pipeline Pipeline, failureDetector FailureDetector) : boolean in class voldemort.store.routed.action.AbstractAction & moved to class voldemort.store.routed.Pipeline",https://github.com/voldemort/voldemort/commit/f9b837d0d785bbb895e96412a38787dd103cbd34?diff=split
"Extract & Move Operation",RxJava,"Extract & Move Operation	public requestMore(n long) : void extracted from public testBackpressureViaRequest() : void in class rx.internal.operators.OnSubscribeRangeTest & moved to class rx.internal.operators.OperatorMerge.InnerSubscriber",https://github.com/ReactiveX/RxJava/commit/f8d90bd500dbe08f52ee028a9aceb51643495c6d?diff=split
"Extract & Move Operation",netty,"Extract & Move Operation	protected doWrite(in ChannelOutboundBuffer) : void extracted from protected flush0() : void in class io.netty.channel.AbstractChannel.AbstractUnsafe & moved to class io.netty.channel.socket.oio.OioDatagramChannel",https://github.com/netty/netty/commit/bcef796dc7cfa340ff1c26231ffbdf5eef397192?diff=split
"Extract & Move Operation",k-9,"Extract & Move Operation	public hasSpamFolder() : boolean extracted from public onCreateContextMenu(menu ContextMenu, v View, menuInfo ContextMenuInfo) : void in class com.fsck.k9.activity.MessageList & moved to class com.fsck.k9.Account",https://github.com/k9mail/k-9/commit/32ae7bad9c3eb5df34f34480e6cd5223c82746a2?diff=split
"Extract & Move Operation",netty,"Extract & Move Operation	protected _setLong(index int, value long) : void extracted from public setLong(index int, value long) : ByteBuf in class io.netty.buffer.UnpooledDirectByteBuf & moved to class io.netty.buffer.PooledDirectByteBuf",https://github.com/netty/netty/commit/1c1570ffc43de209f46465c526faa891bd6e4a87?diff=split
